cmb-cat,cat_move_in_no,new_no,move_out_no,new_total
T-PA-B-C,0,0,0,0
P-PA-S-OE-C,0,0,0,0
P-PA-S-OE-B,0,0,0,0
PA-TECH-B,0,0,0,0
PA-TECH-C,0,0,0,1
I-T-PA-S-C,0,0,0,10
I-T-PA-S-B,0,0,0,1
I-PA-OE-B-C,0,0,0,0
PA-TECH-S,0,0,0,7
I-T-S-B-C,0,0,0,2
P-TECH-S-B,0,0,0,0
P-TECH-S-C,0,0,0,0
P-I-PA-S-OE,0,0,0,5
PA-OE-B,0,0,0,0
P-T-TECH-S-OE-C,0,0,0,1
P-I-T-S-OE-C,0,0,0,1
P-I-T-S-OE-B,0,0,0,0
P-T-TECH-S-OE-B,0,0,0,0
P-T-PA-B-C,0,0,0,0
P-PA-OE-B-C,0,0,0,0
P-I-T-OE-B-C,0,0,0,0
P,0,2,0,180
P-TECH-S-OE-B,0,0,0,1
P-TECH-S-OE-C,0,0,0,0
P-I-TECH-S-B-C,0,0,0,0
P-TECH,0,0,0,6
P-I-TECH-OE-B-C,0,0,0,0
P-I-T-PA,0,0,0,8
T-PA-S-OE-C,0,0,0,2
T-PA-S-OE-B,0,0,0,0
S-C,0,0,0,22
S-B,0,0,0,23
P-I-S-OE-B,0,0,0,0
P-I-S-OE-C,0,0,0,0
I-T-PA-TECH-S-C,0,0,0,10
P-T-PA-TECH-OE,0,0,0,0
I-T-PA-TECH-S-B,0,0,0,1
P-I-T-TECH-S-OE,0,0,0,5
T-S-OE-B,0,0,0,0
I-T-TECH,1,0,0,40
P-TECH-S-OE-B-C,0,0,0,0
P-PA-TECH-S-OE-B-C,0,0,0,1
P-TECH-C,0,0,0,0
T-PA-OE-B-C,0,0,0,0
PA-S,0,3,1,55
T-OE,0,0,0,36
PA-B,0,0,0,5
PA-C,0,0,0,3
I-PA-TECH-S-OE-B,0,0,0,1
I-PA-TECH-S-OE-C,0,0,2,2
I-T-TECH-S-OE,0,0,0,8
P-T-TECH-OE,0,0,0,1
P-I-PA-TECH-S-OE,0,0,0,1
P-TECH-OE,0,0,0,0
I-T-TECH-B-C,0,0,0,1
T-PA-TECH-S-OE-C,0,0,0,0
